Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
01170;Béard-Géovreissiat;4;-57.7;20.6;0;45.2;34.2;4.7;7.9
01171;Géovreisset;2;N/A - résultat non disponible;17.1;0;75;7.9;3.3;2.1
01173;Gex;3;-8.5;13.6;0;66;20.4;32;30.5
01174;Giron;1;-42.4;3.9;0;73.3;22.8;9.4;2.2
01175;Gorrevod;5;-37.6;5.8;0;8.6;85.7;6.9;7.8
01177;Grand-Corent;1;22.2;4.9;0;79.9;15.2;7.1;0.3
01179;Grièges;9;-20.6;13.6;0;6.4;74.1;14.9;19.8
01180;Grilly;1;-22;7.6;0;26.8;65.6;7.5;6.2
01181;Groissiat;1;6.9;17.2;0;58;24.8;6.3;5.9
01183;Guéreins;11;0.2;28;0;7.5;60;4.5;14.8
01184;Hautecourt-Romanèche;2;6.7;5.2;0;58.5;32.9;21.6;2.4
01185;Plateau d'Hauteville;3;-2.5;3.8;0.2;65.6;30.4;106.1;39.1
01187;Haut Valromey;1;13.6;0.3;0;75.8;23.9;107.8;5.1
01188;Illiat;1;-0.5;1.5;0;17.9;80.5;20.4;3.3
01189;Injoux-Génissiat;3;28.5;5.3;0;62.2;31.9;29.6;7.8
01190;Innimond;1;8.5;0;0;66.6;33.4;13.4;0.3
01191;Izenave;0;37.1;2.1;0;69;28.9;13;0.2
01192;Izernore;2;31.9;8;1.4;46.6;43.9;20.9;21.3
01193;Izieu;1;3.1;0;0;70.5;26;7.7;9.5
01194;Jassans-Riottier;9;55.4;55;0;7.2;27.8;4.8;8.8
01195;Jasseron;7;4.9;12;0;54.8;33.1;18.9;16.8
01196;Jayat;10;-20.2;8.1;0;0;88.5;16.3;11.9
01197;Journans;2;0;10.5;0;52.9;36.6;2.4;2.3
01198;Joyeux;0;-2.3;0;0;16.7;59.8;16.6;1.1
01199;Jujurieux;6;-42.4;5.5;0;50.8;42.8;15.4;12.5
01200;Labalme;1;15.9;2.9;0;71;26.1;8.8;0.5
01202;Lagnieu;7;5.6;15.4;0;30.8;51.2;27.2;43.4
01203;Laiz;4;4.7;11.3;0;0;88.7;10.3;13.3
01204;Le Poizat-Lalleyriat;3;32.6;3.6;0;77.9;17.2;33.1;6.7
01206;Lantenay;0;0;4.5;0;49.4;46.1;6.6;0.9
01207;Lapeyrouse;1;9.6;0.2;0;0.6;65.7;20;3.8
01208;Lavours;1;93.3;10.7;5.2;36.1;35.8;6.3;30.1
01209;Léaz;2;-26.2;4.6;0;55.8;36.1;11.4;7.3
01210;Lélex;1;-45;2;0;87.7;10.3;17.6;1.9
01211;Lent;0;0.2;2.6;0;36.5;54.8;31.5;14.3
01212;Lescheroux;6;-0.4;2.9;0;6.9;87.7;20;12.5
01213;Leyment;2;-12.4;10.2;0;23.6;66.2;14.2;7.9
01214;Leyssard;0;N/A - résultat non disponible;0;0;62.6;37.4;9.1;1
01215;Surjoux-Lhopital;0;-68.2;0;0;62.5;34.6;8;2.2
01216;Lhuis;2;8;2.9;0;59.3;35.5;24.4;7.1
01219;Lompnas;1;34.4;0;0;66.8;33.2;12.7;1
01224;Loyettes;3;0.2;9.3;6;8.6;71.7;21.3;17.9
01225;Lurcy;6;-36.6;9.7;0;0;88.5;4.8;3
01227;Magnieu;0;-5.2;0.1;0.6;40.5;56.4;11.4;11.2
01228;Maillat;4;10.9;7.1;0;56.8;36.1;11.3;7.3
01229;Malafretaz;3;7.3;12.8;0;6.1;69.1;9.2;12.4
01230;Mantenay-Montlin;2;7.7;3;0;7.9;89.1;10.8;3.3
01231;Manziat;7;-30.6;16.3;0;9.2;74.4;12.6;21.8
01232;Marboz;4;-6.8;3.4;0;13.7;82.9;40.1;22.5
01233;Marchamp;0;-18.7;0;0;67.4;32.6;13.1;0.4
01234;Marignieu;1;3.6;0;0;42.6;57.4;3.5;0.6
01235;Marlieux;3;11.1;3;0;7;69.5;16.9;8.7
01236;Marsonnas;3;-2.6;3.2;0;8.9;87.9;18.4;7.7
01237;Martignat;2;3.1;7.5;0;74;18.5;13.2;6.6
01238;Massieux;15;-47.8;49.4;0;0;45.3;3.1;8.2
01239;Massignieu-de-Rives;1;-16.7;2.8;0;34.2;54;9.5;13.7
01240;Matafelon-Granges;0;-54.6;1.5;0.1;65.1;24.8;21.5;1.7
01241;Meillonnas;7;-15.7;4.1;0;41.5;54.3;17.7;15.2
01242;Mérignat;2;28.6;0;0;48.4;51.6;3.2;0.2
01243;Messimy-sur-Saône;11;46.4;18.4;0;0;75.4;6;9.4
01244;Meximieux;10;-70.6;29.6;0;8.7;61.5;13.8;33.6
01245;Bohas-Meyriat-Rignat;4;-8.6;1.1;0;46.4;52.5;23.5;8.8
01246;Mézériat;6;-17.4;9.4;0;2.4;88.2;19.2;18.2
01247;Mijoux;1;220;4;0;79.7;16.3;22;5.9
01248;Mionnay;1;46.4;9.3;1.2;14;72.9;19.6;45
01249;Miribel;9;13.3;19.5;1.9;8.9;65.8;24.5;30.6
01250;Misérieux;4;9.4;12.2;0;8.8;78.9;7.4;5.8
01252;Mogneneins;2;30.3;9.1;0;6.3;82.1;8.6;3.3
01254;Montagnat;2;-17.5;13.8;0;35;51.2;13.8;37
01255;Montagnieu;3;393.3;10.7;0;44.6;43.4;6.2;5.1
01257;Montanges;1;83.4;2.2;0;77.4;20.5;13.7;2.5
01258;Montceaux;3;-2.5;7;0;7;86;10;14.5
01259;Montcet;1;38.7;5.7;0;5.3;89;6.7;7.2
01260;Le Montellier;0;11.9;0;0;31;57.3;15.4;4.4
01261;Monthieux;1;-35.8;20.5;0;1;60.1;10.8;3.4
01262;Montluel;8;4.4;5.8;0;23.9;64.9;40.1;8.9
01263;Montmerle-sur-Saône;9;166.7;64.3;0;7.7;13.5;4.2;14.4
01264;Montracol;0;7.9;4.6;0;20;73.1;14.6;7.1
01265;Montréal-la-Cluse;5;1;18;0;69.2;12.8;12.8;31.9
01266;Montrevel-en-Bresse;3;-4.7;17.1;0;6.2;76.7;10.3;9
01267;Nurieux-Volognat;3;-39.5;6.4;0;53.8;39.8;19.3;6.5
01268;Murs-et-Gélignieux;1;-45;0;0;46.6;30.7;6.5;1.6
01269;Nantua;4;N/A - résultat non disponible;10.2;0;75.8;4;12.8;14.7
01272;Neuville-les-Dames;3;6.3;2.6;0;8.9;87.1;26.6;14.8
01273;Neuville-sur-Ain;2;-11.8;5.3;0;34.9;57.4;19.8;11.5
